caption;chief
Ассистент;0
Бухгалтер;0
Ведущий научный сотрудник;0
Вице-президент;1
Водитель;0
Генеральный директор;1
Генеральный конструктор;0
Главный бухгалтер;1
Главный научный сотрудник;0
Главный редактор;0
Директор;0
Доцент;0
Заведующий кафедрой;1
Заведующий лаборатории;0
Зам. генерального директора;1
Зам. главного редактора;1
Зам. декана;1
Зам. директора;1
Инженер;0
Кладовщик-комплектовщик;0
Консультант;0
Лаборант;0
Менеджер;0
Младший научный сотрудник;0
Научный консультант;0
Научный сотрудник;0
Начальник управления;0
Начальник экспедиции;0
Оператор;0
Председатель.;0
Президент;1
Преподаватель;0
Программист,;0
Проректор;0
Профессор;0
Редактор;0
Ректор;0
Руководитель отдела;1
Системный администратор;0
Советник;0
Старший лаборант;0
Старший научный сотрудник;0
Старший оператор;0
Старший преподаватель;0
Старший техник;0
Техник;0
Торговый представитель;0
Уборщик;0
Управляющий филиалом;1